Taxonomy,Concept,Unit,Value,Start,End,Accession,Fiscal Year,Fiscal Period,Form,Filed Date,Frame
us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,USD,34704000000.0,,2023-06-30,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,USD,34704000000.0,,2023-06-30,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,USD,80452000000.0,,2023-09-30,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,USD,17305000000.0,,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,USD,17305000000.0,,2023-12-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2023Q4I
us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,USD,19634000000.0,,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1I
us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,USD,1715000000.0,2022-07-01,2022-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,USD,-7238000000.0,2022-10-01,2022-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2022Q4
us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,USD,12631000000.0,2022-07-01,2023-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,USD,10916000000.0,2023-01-01,2023-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2023Q1
us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,USD,-17399000000.0,2023-07-01,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,USD,-63147000000.0,2023-10-01,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4
us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,USD,-15070000000.0,2023-07-01,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,USD,2329000000.0,2024-01-01,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1
us-gaap,CommercialPaper,USD,0.0,,2023-06-30,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,CommercialPaper,USD,0.0,,2023-06-30,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,CommercialPaper,USD,27041000000.0,,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I
us-gaap,CommercialPaper,USD,20535000000.0,,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1I
us-gaap,CommonStockDividendsPerShareDeclared,USD/shares,0.68,2022-07-01,2022-09-30,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,CommonStockDividendsPerShareDeclared,USD/shares,0.68,2022-07-01,2022-09-30,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,CommonStockDividendsPerShareDeclared,USD/shares,1.36,2022-07-01,2022-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,CommonStockDividendsPerShareDeclared,USD/shares,0.68,2022-10-01,2022-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,CommonStockDividendsPerShareDeclared,USD/shares,0.68,2022-10-01,2022-12-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,CommonStockDividendsPerShareDeclared,USD/shares,2.04,2022-07-01,2023-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,CommonStockDividendsPerShareDeclared,USD/shares,0.68,2023-01-01,2023-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,CommonStockDividendsPerShareDeclared,USD/shares,0.75,2023-07-01,2023-09-30,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,CommonStockDividendsPerShareDeclared,USD/shares,0.75,2023-07-01,2023-09-30,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,CommonStockDividendsPerShareDeclared,USD/shares,1.5,2023-07-01,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,CommonStockDividendsPerShareDeclared,USD/shares,0.75,2023-10-01,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,CommonStockDividendsPerShareDeclared,USD/shares,0.75,2023-10-01,2023-12-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,CommonStockDividendsPerShareDeclared,USD/shares,2.25,2023-07-01,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,CommonStockDividendsPerShareDeclared,USD/shares,0.75,2024-01-01,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,CommonStockSharesAuthorized,shares,24000000000.0,,2023-06-30,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,CommonStockSharesAuthorized,shares,24000000000.0,,2023-06-30,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
